transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday
T0030001,C010163,18-25,Female,Seattle,Loyal,P1839,Footwear,154.99,10,139.49,1,139.49,Cash,2025-11-28,17,0,1
T0030002,C026142,18-25,Male,Houston,Loyal,P7606,Groceries,183.59,30,128.51,1,128.51,Gift Card,2025-11-27,14,0,0
T0030003,C034240,36-45,Female,Dallas,Loyal,P2798,Sports,113.67,20,90.94,1,90.94,Gift Card,2025-12-01,15,0,0
T0030004,C004018,18-25,Male,Chicago,New,P8422,Electronics,2357.12,30,1649.98,1,1649.98,Mobile Wallet,2025-11-24,10,0,0
T0030005,C008935,26-35,Female,Houston,Loyal,P1524,Electronics,722.58,35,469.68,1,469.68,Debit Card,2025-11-27,12,0,0
T0030006,C033597,56+,Other,Houston,New,P3914,Beauty,107.92,25,80.94,1,80.94,Gift Card,2025-11-26,10,0,0
T0030007,C009610,56+,Female,New York,New,P1102,Clothing,164.3,50,82.15,1,82.15,Cash,2025-11-24,12,0,0
T0030008,C026284,26-35,Male,Los Angeles,New,P3032,Footwear,287.02,50,143.51,2,287.02,Cash,2025-11-26,23,0,0
T0030009,C004667,56+,Other,Houston,Returning,P8850,Home & Kitchen,482.41,35,313.57,1,313.57,Debit Card,2025-11-29,16,1,0
T0030010,C024751,36-45,Female,Los Angeles,New,P9522,Beauty,91.97,25,68.98,1,68.98,Cash,2025-11-26,17,0,0
T0030011,C016854,26-35,Male,Dallas,New,P9921,Books,118.02,15,100.32,3,300.96,Gift Card,2025-11-26,16,0,0
T0030012,C007834,56+,Other,Los Angeles,New,P5849,Clothing,40.88,20,32.7,1,32.7,Credit Card,2025-11-29,6,1,0
T0030013,C028676,26-35,Other,Chicago,VIP,P8688,Groceries,9.99,5,9.49,1,9.49,Mobile Wallet,2025-11-30,5,1,0
T0030014,C001760,18-25,Other,Dallas,Returning,P6691,Electronics,283.23,60,113.29,2,226.58,Mobile Wallet,2025-11-27,19,0,0
T0030015,C000086,56+,Male,Phoenix,New,P1374,Home & Kitchen,1099.17,20,879.34,1,879.34,PayPal,2025-11-25,11,0,0
T0030016,C022388,18-25,Other,Phoenix,New,P9097,Beauty,65.87,40,39.52,1,39.52,Gift Card,2025-11-26,17,0,0
T0030017,C012837,18-25,Female,Dallas,New,P4828,Toys,22.67,20,18.14,4,72.56,Debit Card,2025-11-28,9,0,1
T0030018,C032290,56+,Male,Los Angeles,Returning,P4422,Electronics,1862.59,35,1210.68,1,1210.68,Debit Card,2025-11-24,22,0,0
T0030019,C004885,18-25,Male,Houston,Returning,P2892,Groceries,129.88,20,103.9,1,103.9,PayPal,2025-11-24,18,0,0
T0030020,C033814,18-25,Male,Dallas,Returning,P7530,Clothing,241.69,40,145.01,1,145.01,Mobile Wallet,2025-12-01,19,0,0
T0030021,C027804,56+,Female,Miami,New,P8823,Sports,323.76,20,259.01,1,259.01,Debit Card,2025-11-28,17,0,1
T0030022,C002181,18-25,Female,New York,Loyal,P7771,Toys,61.37,35,39.89,2,79.78,Gift Card,2025-11-26,7,0,0
T0030023,C021935,26-35,Female,Seattle,New,P5247,Groceries,61.67,50,30.84,3,92.52,PayPal,2025-11-29,11,1,0
T0030024,C025376,36-45,Male,Houston,Loyal,P2733,Home & Kitchen,96.91,50,48.46,1,48.46,Credit Card,2025-11-28,14,0,1
T0030025,C026072,26-35,Other,New York,Returning,P6732,Books,85.94,10,77.35,1,77.35,Gift Card,2025-11-30,4,1,0
T0030026,C033772,18-25,Female,Seattle,Returning,P8650,Sports,395.65,25,296.74,1,296.74,Credit Card,2025-11-29,8,1,0
T0030027,C000694,56+,Female,New York,VIP,P1695,Groceries,137.72,20,110.18,1,110.18,Cash,2025-11-30,23,1,0
T0030028,C013191,36-45,Other,Los Angeles,Returning,P4546,Beauty,244.63,30,171.24,1,171.24,Debit Card,2025-11-27,4,0,0
T0030029,C004868,26-35,Male,San Francisco,Returning,P1450,Books,11.92,15,10.13,1,10.13,PayPal,2025-12-01,23,0,0
T0030030,C026308,26-35,Male,Houston,Returning,P7841,Groceries,17.69,30,12.38,1,12.38,Debit Card,2025-12-01,12,0,0
T0030031,C024773,56+,Male,San Francisco,New,P7755,Sports,448.27,35,291.38,1,291.38,Gift Card,2025-11-26,20,0,0
T0030032,C020029,56+,Male,Atlanta,Returning,P8099,Home & Kitchen,1168.0,25,876.0,1,876.0,PayPal,2025-11-25,0,0,0
T0030033,C030930,46-55,Female,Seattle,Returning,P9623,Electronics,1425.38,25,1069.04,1,1069.04,PayPal,2025-11-24,1,0,0
T0030034,C024097,36-45,Female,Miami,New,P5183,Sports,491.36,15,417.66,1,417.66,Credit Card,2025-11-26,14,0,0
T0030035,C004202,36-45,Male,Atlanta,Loyal,P6313,Sports,373.44,30,261.41,1,261.41,Debit Card,2025-11-26,19,0,0
T0030036,C009460,36-45,Other,Seattle,Loyal,P8955,Beauty,233.77,25,175.33,2,350.66,Credit Card,2025-12-01,7,0,0
T0030037,C030554,26-35,Other,Phoenix,Returning,P9103,Accessories,107.81,40,64.69,1,64.69,Mobile Wallet,2025-11-25,2,0,0
T0030038,C034321,46-55,Male,San Francisco,New,P1980,Accessories,187.43,10,168.69,5,843.45,Mobile Wallet,2025-11-29,1,1,0
T0030039,C012512,26-35,Other,Los Angeles,Loyal,P3652,Groceries,124.49,40,74.69,1,74.69,Cash,2025-11-26,10,0,0
T0030040,C008075,36-45,Female,Dallas,New,P2896,Home & Kitchen,258.38,40,155.03,1,155.03,Debit Card,2025-11-27,20,0,0
T0030041,C011417,46-55,Other,Dallas,Returning,P7989,Accessories,418.73,25,314.05,3,942.15,Cash,2025-11-27,19,0,0
T0030042,C017204,26-35,Other,Seattle,New,P3882,Books,96.76,10,87.08,1,87.08,PayPal,2025-11-30,17,1,0
T0030043,C008752,18-25,Other,Los Angeles,New,P6240,Home & Kitchen,869.76,40,521.86,1,521.86,Debit Card,2025-11-25,7,0,0
T0030044,C023657,18-25,Female,San Francisco,Returning,P7469,Beauty,158.83,30,111.18,1,111.18,Mobile Wallet,2025-11-29,13,1,0
T0030045,C015613,18-25,Male,Chicago,Returning,P3970,Toys,73.57,60,29.43,1,29.43,Gift Card,2025-11-29,3,1,0
