transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday
T0050001,C033959,26-35,Other,Chicago,New,P8177,Footwear,185.59,35,120.63,3,361.89,Cash,2025-11-27,10,0,0
T0050002,C031252,46-55,Other,Miami,New,P4456,Footwear,50.21,25,37.66,2,75.32,PayPal,2025-11-30,10,1,0
T0050003,C004246,46-55,Male,Seattle,New,P2288,Toys,236.32,40,141.79,1,141.79,Credit Card,2025-11-25,1,0,0
T0050004,C002600,26-35,Female,Atlanta,Returning,P2863,Footwear,150.66,25,113.0,1,113.0,Gift Card,2025-12-01,1,0,0
T0050005,C007202,56+,Male,Chicago,Loyal,P3226,Sports,520.2,15,442.17,1,442.17,PayPal,2025-12-01,3,0,0
T0050006,C018456,56+,Female,Dallas,VIP,P1251,Groceries,84.62,30,59.23,2,118.46,Gift Card,2025-11-26,16,0,0
T0050007,C019983,18-25,Female,Atlanta,New,P2734,Accessories,412.1,25,309.08,2,618.16,Cash,2025-11-28,1,0,1
T0050008,C005201,56+,Male,Phoenix,Returning,P7040,Clothing,92.38,25,69.28,1,69.28,Cash,2025-11-26,14,0,0
T0050009,C005346,18-25,Male,Los Angeles,VIP,P1818,Sports,570.34,25,427.76,1,427.76,Credit Card,2025-12-01,22,0,0
T0050010,C027889,56+,Female,Atlanta,New,P6302,Books,30.1,10,27.09,3,81.27,Cash,2025-11-24,3,0,0
T0050011,C015033,46-55,Male,Dallas,Loyal,P5075,Beauty,52.84,20,42.27,2,84.54,Credit Card,2025-11-28,2,0,1
T0050012,C011762,26-35,Male,New York,New,P7877,Groceries,53.64,30,37.55,1,37.55,PayPal,2025-11-25,15,0,0
T0050013,C009819,56+,Other,Atlanta,VIP,P8751,Home & Kitchen,130.33,30,91.23,1,91.23,Cash,2025-11-27,2,0,0
T0050014,C009949,18-25,Female,Los Angeles,VIP,P5310,Toys,60.33,15,51.28,1,51.28,Debit Card,2025-11-24,18,0,0
T0050015,C023777,26-35,Male,Miami,New,P8070,Groceries,22.69,35,14.75,1,14.75,Gift Card,2025-11-27,2,0,0
T0050016,C007345,26-35,Female,Phoenix,Returning,P1498,Books,27.77,60,11.11,5,55.55,Credit Card,2025-11-25,12,0,0
T0050017,C024979,56+,Male,New York,VIP,P1336,Footwear,75.43,35,49.03,1,49.03,Credit Card,2025-11-29,4,1,0
T0050018,C016862,36-45,Male,Seattle,Returning,P2757,Toys,234.46,25,175.84,1,175.84,Credit Card,2025-11-26,9,0,0
T0050019,C008856,26-35,Other,Chicago,New,P9213,Toys,184.41,20,147.53,1,147.53,Credit Card,2025-12-01,5,0,0
T0050020,C021585,56+,Female,Houston,Loyal,P1712,Toys,95.71,40,57.43,2,114.86,Gift Card,2025-11-27,0,0,0
T0050021,C033219,46-55,Other,Chicago,New,P2578,Accessories,33.19,30,23.23,1,23.23,Mobile Wallet,2025-11-29,11,1,0
T0050022,C025307,18-25,Male,Miami,New,P7828,Books,93.38,30,65.37,3,196.11,Gift Card,2025-11-29,15,1,0
T0050023,C007966,18-25,Other,Dallas,Loyal,P6216,Home & Kitchen,953.27,35,619.63,1,619.63,Credit Card,2025-11-24,2,0,0
T0050024,C028354,46-55,Male,San Francisco,Returning,P1026,Beauty,224.62,20,179.7,1,179.7,Credit Card,2025-11-26,18,0,0
T0050025,C029234,36-45,Other,San Francisco,Returning,P8514,Home & Kitchen,589.57,35,383.22,1,383.22,Cash,2025-11-26,3,0,0
T0050026,C009559,56+,Male,Chicago,Returning,P6082,Books,111.56,15,94.83,2,189.66,Mobile Wallet,2025-11-25,21,0,0
T0050027,C007114,26-35,Female,Phoenix,Returning,P7502,Sports,459.9,25,344.92,2,689.84,Gift Card,2025-12-01,19,0,0
T0050028,C004124,18-25,Male,Dallas,Loyal,P9252,Accessories,12.24,5,11.63,1,11.63,Gift Card,2025-11-30,21,1,0
T0050029,C031765,46-55,Female,New York,New,P1315,Groceries,155.2,20,124.16,2,248.32,PayPal,2025-12-01,0,0,0
T0050030,C001296,18-25,Other,Dallas,Returning,P8800,Groceries,197.14,25,147.85,1,147.85,Mobile Wallet,2025-11-24,5,0,0
T0050031,C010220,36-45,Female,San Francisco,Returning,P5228,Books,91.25,5,86.69,2,173.38,Mobile Wallet,2025-11-27,9,0,0
T0050032,C021415,36-45,Male,Dallas,New,P9254,Accessories,483.06,50,241.53,1,241.53,Debit Card,2025-11-26,12,0,0
